Entry Date,Exit Date,Direction,Shares,Entry Price,Exit Price,PnL ($),Equity After Close,Grid Stop Loss,Grid Take Profit
2025-08-26 19:30,2025-08-27 17:00,LONG,200,26.8,28.05,250.0,103835.4,60.0,60.0
2025-08-27 17:30,2025-08-28 18:00,LONG,100,27.85,29.15,130.0,103959.7,60.0,60.0
2025-08-28 18:30,2025-08-29 20:30,LONG,100,29.27,29.87,60.0,104013.79,60.0,60.0
2025-09-03 20:00,2025-09-22 21:30,LONG,100,30.75,25.96,-479.0,103575.12,459.99999999999994,459.99999999999994
2025-09-22 22:00,2025-10-01 19:30,SHORT,200,26.07,31.6,-1106.0,102457.58,459.99999999999994,459.99999999999994
2025-10-03 20:30,2025-10-10 21:00,SHORT,100,30.15,26.88,327.0,102733.86,310.0,310.0
2025-10-10 21:30,2025-10-21 22:30,SHORT,100,27.1,30.27,-317.0,102411.12,310.0,310.0
2025-10-22 16:30,2025-10-28 16:00,LONG,200,30.22,27.06,-632.0,101767.67,310.0,310.0
2025-11-04 20:30,2025-11-13 21:00,LONG,100,33.68,37.38,370.0,100975.67,360.0,360.0
2025-11-13 21:30,2025-11-17 21:00,LONG,100,36.91,33.25,-366.0,100602.66,360.0,360.0
2025-11-17 21:30,2025-12-01 20:30,SHORT,200,33.19,37.44,-850.0,99738.53,360.0,360.0
2025-12-03 20:30,2025-12-05 17:00,LONG,100,39.01,44.85,584.0,100222.93,210.0,210.0
2025-12-05 17:30,2025-12-08 17:00,LONG,100,45.35,38.41,-694.0,99520.55,210.0,210.0
2025-12-08 17:30,2025-12-09 17:00,SHORT,200,38.25,34.55,740.0,100245.99,210.0,210.0
2025-12-09 17:30,2025-12-09 21:30,SHORT,100,34.85,32.74,211.0,100450.23,210.0,210.0
2025-12-09 22:00,2025-12-11 17:00,SHORT,100,32.99,30.56,243.0,100686.88,210.0,210.0
2025-12-11 17:30,2025-12-12 17:00,SHORT,100,30.84,27.84,300.0,100981.01,210.0,210.0
2025-12-12 17:30,2025-12-16 17:00,SHORT,100,27.46,24.76,270.0,101245.79,210.0,210.0
2025-12-16 17:30,2025-12-22 17:00,SHORT,100,24.7,21.62,308.0,101549.15,210.0,210.0
2025-12-22 17:30,2025-12-23 18:30,SHORT,100,21.19,23.33,-214.0,101330.7,210.0,210.0
2025-12-23 19:00,2025-12-29 17:00,LONG,200,23.37,26.27,580.0,101900.77,210.0,210.0
2025-12-29 17:30,2025-12-31 17:00,LONG,100,26.18,23.55,-263.0,101632.8,210.0,210.0
